org,repo,pull_number,instance_id,base_commit,reported_total_in_problem_statement,parsed_total_from_problem_statement,missing_count_raw,additional_count_filtered_by_basename,updated_missing_count,Score,Value
catchorg,Catch2,2849,catchorg__Catch2_2849_1,7ce35799767de7b9c6ba836c72e479c5f70219a3,2,2,2,0,2,1,1
catchorg,Catch2,2849,catchorg__Catch2_2849_2,7ce35799767de7b9c6ba836c72e479c5f70219a3,13,13,13,3,10,0.769230769,0.769230769
catchorg,Catch2,2849,catchorg__Catch2_2849_3,7ce35799767de7b9c6ba836c72e479c5f70219a3,2,2,2,0,2,1,1
catchorg,Catch2,2849,catchorg__Catch2_2849_4,7ce35799767de7b9c6ba836c72e479c5f70219a3,29,14,12,16,0,0,-0.285714286
catchorg,Catch2,2849,catchorg__Catch2_2849_5,7ce35799767de7b9c6ba836c72e479c5f70219a3,15,15,15,3,12,0.8,0.8
catchorg,Catch2,2849,catchorg__Catch2_2849_6,7ce35799767de7b9c6ba836c72e479c5f70219a3,27,20,20,11,9,0.45,0.45
catchorg,Catch2,2849,catchorg__Catch2_2849_7,7ce35799767de7b9c6ba836c72e479c5f70219a3,8,8,8,5,3,0.375,0.375
catchorg,Catch2,2849,catchorg__Catch2_2849_8,7ce35799767de7b9c6ba836c72e479c5f70219a3,15,15,15,22,0,0,-0.466666667
catchorg,Catch2,2849,catchorg__Catch2_2849_9,7ce35799767de7b9c6ba836c72e479c5f70219a3,14,14,14,9,5,0.357142857,0.357142857
catchorg,Catch2,2849,catchorg__Catch2_2849_10,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,9,8,0,8,0.888888889,0.888888889
catchorg,Catch2,2849,catchorg__Catch2_2849_11,7ce35799767de7b9c6ba836c72e479c5f70219a3,22,20,0,2,0,0,-0.1
catchorg,Catch2,2849,catchorg__Catch2_2849_12,7ce35799767de7b9c6ba836c72e479c5f70219a3,4,4,4,0,4,1,1
catchorg,Catch2,2849,catchorg__Catch2_2849_13,7ce35799767de7b9c6ba836c72e479c5f70219a3,12,12,12,12,0,0,0
catchorg,Catch2,2849,catchorg__Catch2_2849_14,7ce35799767de7b9c6ba836c72e479c5f70219a3,6,6,6,1,5,0.833333333,0.833333333
catchorg,Catch2,2849,catchorg__Catch2_2849_15,7ce35799767de7b9c6ba836c72e479c5f70219a3,7,7,7,2,5,0.714285714,0.714285714
catchorg,Catch2,2849,catchorg__Catch2_2849_16,7ce35799767de7b9c6ba836c72e479c5f70219a3,6,6,6,0,6,1,1
