source,frequency
"readability-identifier-naming,-warnings-as-errors",10679
"modernize-use-trailing-return-type,-warnings-as-errors",8850
"[nodiscard]] [modernize-use-nodiscard,-warnings-as-errors",2882
"readability-identifier-length,-warnings-as-errors",1211
"misc-non-private-member-variables-in-classes,-warnings-as-errors",1195
"cppcoreguidelines-macro-usage,-warnings-as-errors",836
"cppcoreguidelines-special-member-functions,-warnings-as-errors",620
"cppcoreguidelines-rvalue-reference-param-not-moved,-warnings-as-errors",537
"misc-include-cleaner,-warnings-as-errors",514
"readability-named-parameter,-warnings-as-errors",452
"readability-braces-around-statements,-warnings-as-errors",404
"modernize-return-braced-init-list,-warnings-as-errors",401
"modernize-type-traits,-warnings-as-errors",387
"modernize-concat-nested-namespaces,-warnings-as-errors",357
"cppcoreguidelines-missing-std-forward,-warnings-as-errors",340
"performance-enum-size,-warnings-as-errors",307
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers,-warnings-as-errors",294
"cppcoreguidelines-non-private-member-variables-in-classes,misc-non-private-member-variables-in-classes,-warnings-as-errors",290
"modernize-use-equals-delete,-warnings-as-errors",264
"cppcoreguidelines-pro-bounds-pointer-arithmetic,-warnings-as-errors",235
"cppcoreguidelines-avoid-c-arrays,modernize-avoid-c-arrays,-warnings-as-errors",223
"readability-redundant-access-specifiers,-warnings-as-errors",161
"readability-else-after-return,-warnings-as-errors",160
"cppcoreguidelines-pro-type-member-init,-warnings-as-errors",133
"cppcoreguidelines-macro-to-enum,modernize-macro-to-enum,-warnings-as-errors",110
"cppcoreguidelines-avoid-const-or-ref-data-members,-warnings-as-errors",104
"readability-const-return-type,-warnings-as-errors",104
"cppcoreguidelines-pro-bounds-array-to-pointer-decay,-warnings-as-errors",92
"misc-const-correctness,-warnings-as-errors",87
"readability-qualified-auto,-warnings-as-errors",84
"cppcoreguidelines-noexcept-swap,performance-noexcept-swap,-warnings-as-errors",67
"cppcoreguidelines-owning-memory,-warnings-as-errors",66
"cppcoreguidelines-pro-type-union-access,-warnings-as-errors",48
"cppcoreguidelines-noexcept-move-operations,performance-noexcept-move-constructor,-warnings-as-errors",45
"cppcoreguidelines-pro-type-reinterpret-cast,-warnings-as-errors",45
"readability-implicit-bool-conversion,-warnings-as-errors",45
"bugprone-macro-parentheses,-warnings-as-errors",26
"cppcoreguidelines-avoid-do-while,-warnings-as-errors",26
"readability-static-definition-in-anonymous-namespace,-warnings-as-errors",22
"cppcoreguidelines-virtual-class-destructor,-warnings-as-errors",21
"bugprone-easily-swappable-parameters,-warnings-as-errors",16
"readability-avoid-return-with-void-value,-warnings-as-errors",15
"readability-uppercase-literal-suffix,-warnings-as-errors",14
"cppcoreguidelines-pro-type-static-cast-downcast,-warnings-as-errors",13
"modernize-pass-by-value,-warnings-as-errors",12
"cppcoreguidelines-avoid-non-const-global-variables,-warnings-as-errors",11
"misc-use-anonymous-namespace,-warnings-as-errors",10
"modernize-use-auto,-warnings-as-errors",9
"readability-isolate-declaration,-warnings-as-errors",9
"cppcoreguidelines-init-variables,-warnings-as-errors",8
"readability-avoid-const-params-in-decls,-warnings-as-errors",7
"readability-redundant-member-init,-warnings-as-errors",6
"bugprone-narrowing-conversions,cppcoreguidelines-narrowing-conversions,-warnings-as-errors",5
"misc-no-recursion,-warnings-as-errors",5
"modernize-use-emplace,-warnings-as-errors",5
"cppcoreguidelines-pro-bounds-constant-array-index,-warnings-as-errors",4
"readability-container-size-empty,-warnings-as-errors",4
"readability-convert-member-functions-to-static,-warnings-as-errors",4
"readability-function-cognitive-complexity,-warnings-as-errors",4
"readability-use-anyofallof,-warnings-as-errors",4
"clang-analyzer-optin.core.EnumCastOutOfRange,-warnings-as-errors",3
"bugprone-macro-repeated-side-effects,-warnings-as-errors",2
"cppcoreguidelines-explicit-virtual-functions,modernize-use-override,-warnings-as-errors",2
"cppcoreguidelines-use-default-member-init,modernize-use-default-member-init,-warnings-as-errors",2
"performance-move-constructor-init,-warnings-as-errors",2
"readability-redundant-inline-specifier,-warnings-as-errors",2
"readability-simplify-boolean-expr,-warnings-as-errors",2
"bugprone-implicit-widening-of-multiplication-result,-warnings-as-errors",1
"cppcoreguidelines-pro-type-vararg,-warnings-as-errors",1
"modernize-deprecated-headers,-warnings-as-errors",1
