Instance number,Org,Repo,Pull Number,Style Errors Fixed,Total Style Errors,Score
1,apache,dubbo,10638,9,9,1
2,apache,dubbo,10638,1,1,1
3,apache,dubbo,10638,10,12,0.8333
4,apache,dubbo,10638,7,9,0.7778
5,apache,dubbo,10638,3,7,0.4286
6,elastic,logstash,17021,8,9,0.8889
7,elastic,logstash,17021,8,8,1
8,elastic,logstash,17021,5,5,1
9,elastic,logstash,17021,7,9,0.7778
10,elastic,logstash,17021,5,6,0.8333
11,elastic,logstash,17021,4,9,0.4444
12,elastic,logstash,17021,3,8,0.375
13,elastic,logstash,17021,5,7,0.7143
14,elastic,logstash,17021,8,9,0.8889
15,elastic,logstash,17021,6,9,0.6667
16,elastic,logstash,17021,7,8,0.875
17,elastic,logstash,17021,8,9,0.8889
18,elastic,logstash,17021,4,9,0.4444
19,elastic,logstash,17021,5,9,0.5556
20,elastic,logstash,17021,9,9,1
21,elastic,logstash,17021,6,9,0.6667
22,elastic,logstash,17021,1,1,1
23,alibaba,fastjson2,2775,18,18,1
24,alibaba,fastjson2,2775,2,3,0.6667
25,alibaba,fastjson2,2775,7,9,0.7778
26,alibaba,fastjson2,2775,0,2,0
27,alibaba,fastjson2,2775,8,9,0.8889
28,alibaba,fastjson2,2775,5,7,0.7143
29,alibaba,fastjson2,2775,8,12,0.6667
30,alibaba,fastjson2,2775,7,8,0.875
31,alibaba,fastjson2,2775,8,9,0.8889
32,alibaba,fastjson2,2775,3,9,0.3333
33,alibaba,fastjson2,2775,4,5,0.8
34,fasterxml,jackson-core,1309,18,20,0.9
35,fasterxml,jackson-core,1309,0,4,0
36,fasterxml,jackson-core,1309,0,9,0
37,fasterxml,jackson-core,1309,8,9,0.8889
38,fasterxml,jackson-core,1309,5,8,0.625
39,fasterxml,jackson-core,1309,3,9,0.3333
40,fasterxml,jackson-core,1309,6,9,0.6667
41,fasterxml,jackson-core,1309,6,9,0.6667
42,fasterxml,jackson-core,1309,6,6,1
43,fasterxml,jackson-core,1309,7,9,0.7778
44,fasterxml,jackson-core,1309,7,9,0.7778
45,fasterxml,jackson-core,1309,7,9,0.7778
46,fasterxml,jackson-core,1309,1,1,1
47,fasterxml,jackson-dataformat-xml,644,4,4,1
48,fasterxml,jackson-dataformat-xml,644,5,8,0.625
49,fasterxml,jackson-dataformat-xml,644,16,20,0.8
50,fasterxml,jackson-dataformat-xml,644,0,4,0
51,fasterxml,jackson-dataformat-xml,644,0,8,0
52,fasterxml,jackson-dataformat-xml,644,0,8,0
53,fasterxml,jackson-dataformat-xml,644,5,8,0.625
54,fasterxml,jackson-dataformat-xml,644,5,6,0.8333
55,fasterxml,jackson-dataformat-xml,644,5,5,1
56,fasterxml,jackson-dataformat-xml,644,8,8,1
57,fasterxml,jackson-dataformat-xml,644,5,9,0.5556
58,fasterxml,jackson-dataformat-xml,644,5,5,1
59,fasterxml,jackson-databind,4641,3,3,1
60,fasterxml,jackson-databind,4641,15,15,1
61,fasterxml,jackson-databind,4641,4,7,0.5714
62,fasterxml,jackson-databind,4641,8,8,1
63,fasterxml,jackson-databind,4641,6,6,1
64,fasterxml,jackson-databind,4641,8,9,0.8889
65,fasterxml,jackson-databind,4641,0,9,0
66,fasterxml,jackson-databind,4641,0,8,0
67,fasterxml,jackson-databind,4641,0,9,0
68,fasterxml,jackson-databind,4641,0,8,0
69,fasterxml,jackson-databind,4641,9,9,1
70,fasterxml,jackson-databind,4641,7,8,0.875
71,fasterxml,jackson-databind,4641,0,9,0
72,fasterxml,jackson-databind,4641,0,8,0
73,fasterxml,jackson-databind,4641,0,9,0
74,fasterxml,jackson-databind,4641,0,8,0
75,fasterxml,jackson-databind,4641,0,9,0
76,fasterxml,jackson-databind,4641,0,4,0
77,google,gson,1787,8,8,1
78,google,gson,1787,8,9,0.8889
79,google,gson,1787,6,8,0.75
80,google,gson,1787,2,3,0.6667
81,google,gson,1787,11,12,0.9167
82,google,gson,1787,5,6,0.8333
83,google,gson,1787,7,9,0.7778
84,google,gson,1787,6,7,0.8571
85,google,gson,1787,0,8,0
86,google,gson,1787,7,9,0.7778
87,google,gson,1787,8,9,0.8889
88,google,gson,1787,8,9,0.8889
89,google,gson,1787,0,9,0
90,google,gson,1787,5,9,0.5556
91,google,gson,1787,1,1,1
92,googlecontainertools,jib,4144,5,6,0.8333
93,googlecontainertools,jib,4144,10,12,0.8333
94,googlecontainertools,jib,4144,8,8,1
95,googlecontainertools,jib,4144,8,9,0.8889
96,googlecontainertools,jib,4144,6,8,0.75
97,googlecontainertools,jib,4144,2,7,0.2857
98,mockito,mockito,3424,4,4,1
99,mockito,mockito,3424,10,10,1
100,mockito,mockito,3424,8,8,1
101,mockito,mockito,3424,9,9,1
102,mockito,mockito,3424,7,9,0.7778
103,google,guava,6586,1,9,0.1111
104,google,guava,6586,4,17,0.2353
105,google,guava,6586,0,7,0
106,google,guava,6586,0,7,0
107,google,guava,6586,0,4,0
108,google,guava,6586,0,11,0
109,google,guava,6586,3,9,0.3333
110,google,guava,6586,0,9,0
111,google,guava,6586,5,8,0.625
112,google,guava,6586,1,9,0.1111
113,google,guava,6586,4,8,0.5
114,google,guava,6586,3,9,0.3333
115,google,guava,6586,0,9,0
116,google,guava,6586,1,9,0.1111
117,google,guava,6586,0,8,0
118,google,guava,6586,5,9,0.5556
119,google,guava,6586,2,5,0.4
120,spring-projects,spring-boot,45267,9,9,1
121,spring-projects,spring-boot,45267,7,8,0.875
122,spring-projects,spring-boot,45267,7,9,0.7778
123,spring-projects,spring-boot,45267,1,3,0.3333
