org,repo,pull_number,instance_id,base_commit,total_errors_in_problem_statement,total_messages_in_base,total_messages_in_instance,missing_messages_count,missing_details_excerpt,run_returncode,run_logfile
catchorg,Catch2,2849,catchorg__Catch2_2849_1,7ce35799767de7b9c6ba836c72e479c5f70219a3,2,6346,6344,2,,,run_catchorg__Catch2_2849_1.log
catchorg,Catch2,2849,catchorg__Catch2_2849_2,7ce35799767de7b9c6ba836c72e479c5f70219a3,13,6346,6335,11,,,run_catchorg__Catch2_2849_2.log
catchorg,Catch2,2849,catchorg__Catch2_2849_3,7ce35799767de7b9c6ba836c72e479c5f70219a3,2,6346,6344,2,,,run_catchorg__Catch2_2849_3.log
catchorg,Catch2,2849,catchorg__Catch2_2849_4,7ce35799767de7b9c6ba836c72e479c5f70219a3,14,6346,6328,18,,,run_catchorg__Catch2_2849_4.log
catchorg,Catch2,2849,catchorg__Catch2_2849_5,7ce35799767de7b9c6ba836c72e479c5f70219a3,15,6346,6334,12,,,run_catchorg__Catch2_2849_5.log
catchorg,Catch2,2849,catchorg__Catch2_2849_6,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6329,17,,,run_catchorg__Catch2_2849_6.log
catchorg,Catch2,2849,catchorg__Catch2_2849_7,7ce35799767de7b9c6ba836c72e479c5f70219a3,8,6346,6300,46,,,run_catchorg__Catch2_2849_7.log
catchorg,Catch2,2849,catchorg__Catch2_2849_8,7ce35799767de7b9c6ba836c72e479c5f70219a3,15,6346,6349,0,,,run_catchorg__Catch2_2849_8.log
catchorg,Catch2,2849,catchorg__Catch2_2849_9,7ce35799767de7b9c6ba836c72e479c5f70219a3,14,6346,6341,5,,,run_catchorg__Catch2_2849_9.log
catchorg,Catch2,2849,catchorg__Catch2_2849_10,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,6346,6334,12,,,run_catchorg__Catch2_2849_10.log
catchorg,Catch2,2849,catchorg__Catch2_2849_11,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6346,0,,,run_catchorg__Catch2_2849_11.log
catchorg,Catch2,2849,catchorg__Catch2_2849_12,7ce35799767de7b9c6ba836c72e479c5f70219a3,4,6346,6342,4,,,run_catchorg__Catch2_2849_12.log
catchorg,Catch2,2849,catchorg__Catch2_2849_13,7ce35799767de7b9c6ba836c72e479c5f70219a3,12,6346,6346,0,,,run_catchorg__Catch2_2849_13.log
catchorg,Catch2,2849,catchorg__Catch2_2849_14,7ce35799767de7b9c6ba836c72e479c5f70219a3,6,6346,6341,5,,,run_catchorg__Catch2_2849_14.log
catchorg,Catch2,2849,catchorg__Catch2_2849_15,7ce35799767de7b9c6ba836c72e479c5f70219a3,7,6346,6326,20,,,run_catchorg__Catch2_2849_15.log
catchorg,Catch2,2849,catchorg__Catch2_2849_16,7ce35799767de7b9c6ba836c72e479c5f70219a3,6,6346,6340,6,,,run_catchorg__Catch2_2849_16.log
catchorg,Catch2,2849,catchorg__Catch2_2849_17,7ce35799767de7b9c6ba836c72e479c5f70219a3,13,6346,6339,7,,,run_catchorg__Catch2_2849_17.log
catchorg,Catch2,2849,catchorg__Catch2_2849_18,7ce35799767de7b9c6ba836c72e479c5f70219a3,7,6346,6340,6,,,run_catchorg__Catch2_2849_18.log
catchorg,Catch2,2849,catchorg__Catch2_2849_19,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,6346,6338,8,,,run_catchorg__Catch2_2849_19.log
catchorg,Catch2,2849,catchorg__Catch2_2849_20,7ce35799767de7b9c6ba836c72e479c5f70219a3,2,6346,6344,2,,,run_catchorg__Catch2_2849_20.log
catchorg,Catch2,2849,catchorg__Catch2_2849_21,7ce35799767de7b9c6ba836c72e479c5f70219a3,17,6346,6407,0,,,run_catchorg__Catch2_2849_21.log
catchorg,Catch2,2849,catchorg__Catch2_2849_22,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,6346,6346,0,,,run_catchorg__Catch2_2849_22.log
catchorg,Catch2,2849,catchorg__Catch2_2849_23,7ce35799767de7b9c6ba836c72e479c5f70219a3,4,6346,6342,4,,,run_catchorg__Catch2_2849_23.log
catchorg,Catch2,2849,catchorg__Catch2_2849_24,7ce35799767de7b9c6ba836c72e479c5f70219a3,10,6346,6336,10,,,run_catchorg__Catch2_2849_24.log
catchorg,Catch2,2849,catchorg__Catch2_2849_25,7ce35799767de7b9c6ba836c72e479c5f70219a3,10,6346,6338,8,,,run_catchorg__Catch2_2849_25.log
catchorg,Catch2,2849,catchorg__Catch2_2849_26,7ce35799767de7b9c6ba836c72e479c5f70219a3,17,6346,6340,6,,,run_catchorg__Catch2_2849_26.log
catchorg,Catch2,2849,catchorg__Catch2_2849_27,7ce35799767de7b9c6ba836c72e479c5f70219a3,6,6346,6348,0,,,run_catchorg__Catch2_2849_27.log
catchorg,Catch2,2849,catchorg__Catch2_2849_28,7ce35799767de7b9c6ba836c72e479c5f70219a3,16,6346,6333,13,,,run_catchorg__Catch2_2849_28.log
catchorg,Catch2,2849,catchorg__Catch2_2849_29,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6423,0,,,run_catchorg__Catch2_2849_29.log
catchorg,Catch2,2849,catchorg__Catch2_2849_30,7ce35799767de7b9c6ba836c72e479c5f70219a3,8,6346,6325,21,,,run_catchorg__Catch2_2849_30.log
catchorg,Catch2,2849,catchorg__Catch2_2849_31,7ce35799767de7b9c6ba836c72e479c5f70219a3,2,6346,6344,2,,,run_catchorg__Catch2_2849_31.log
catchorg,Catch2,2849,catchorg__Catch2_2849_32,7ce35799767de7b9c6ba836c72e479c5f70219a3,10,6346,6340,6,,,run_catchorg__Catch2_2849_32.log
catchorg,Catch2,2849,catchorg__Catch2_2849_33,7ce35799767de7b9c6ba836c72e479c5f70219a3,6,6346,6341,5,,,run_catchorg__Catch2_2849_33.log
catchorg,Catch2,2849,catchorg__Catch2_2849_34,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,6346,6346,0,,,run_catchorg__Catch2_2849_34.log
catchorg,Catch2,2849,catchorg__Catch2_2849_35,7ce35799767de7b9c6ba836c72e479c5f70219a3,5,6346,6350,0,,,run_catchorg__Catch2_2849_35.log
catchorg,Catch2,2849,catchorg__Catch2_2849_36,7ce35799767de7b9c6ba836c72e479c5f70219a3,8,6346,6340,6,,,run_catchorg__Catch2_2849_36.log
catchorg,Catch2,2849,catchorg__Catch2_2849_37,7ce35799767de7b9c6ba836c72e479c5f70219a3,12,6346,6340,6,,,run_catchorg__Catch2_2849_37.log
catchorg,Catch2,2849,catchorg__Catch2_2849_38,7ce35799767de7b9c6ba836c72e479c5f70219a3,8,6346,6351,0,,,run_catchorg__Catch2_2849_38.log
catchorg,Catch2,2849,catchorg__Catch2_2849_39,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6332,14,,,run_catchorg__Catch2_2849_39.log
catchorg,Catch2,2849,catchorg__Catch2_2849_40,7ce35799767de7b9c6ba836c72e479c5f70219a3,7,6346,6334,12,,,run_catchorg__Catch2_2849_40.log
catchorg,Catch2,2849,catchorg__Catch2_2849_41,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6346,0,,,run_catchorg__Catch2_2849_41.log
catchorg,Catch2,2849,catchorg__Catch2_2849_42,7ce35799767de7b9c6ba836c72e479c5f70219a3,2,6346,6344,2,,,run_catchorg__Catch2_2849_42.log
catchorg,Catch2,2849,catchorg__Catch2_2849_43,7ce35799767de7b9c6ba836c72e479c5f70219a3,9,6346,6340,6,,,run_catchorg__Catch2_2849_43.log
catchorg,Catch2,2849,catchorg__Catch2_2849_44,7ce35799767de7b9c6ba836c72e479c5f70219a3,1,6346,6345,1,,,run_catchorg__Catch2_2849_44.log
catchorg,Catch2,2849,catchorg__Catch2_2849_45,7ce35799767de7b9c6ba836c72e479c5f70219a3,20,6346,6323,23,,,run_catchorg__Catch2_2849_45.log
catchorg,Catch2,2849,catchorg__Catch2_2849_46,7ce35799767de7b9c6ba836c72e479c5f70219a3,3,6346,6345,1,,,run_catchorg__Catch2_2849_46.log
